Continent,Year,Population
Africa,2013,19981
Africa,2014,19641
Africa,2015,19477
Africa,2016,19508
Africa,2017,20384
Africa,2018,20699
Africa,2019,22684
Africa,2020,24601
Africa,2021,25283
Africa,2022,24402
Africa,2023,25673
America,2013,105717
America,2014,91627
America,2015,83523
America,2016,83516
America,2017,91777
America,2018,97790
America,2019,109564
America,2020,123223
America,2021,126491
America,2022,121524
America,2023,142976
Asia,2013,65480
Asia,2014,64402
Asia,2015,65295
Asia,2016,67494
Asia,2017,72055
Asia,2018,57706
Asia,2019,80946
Asia,2020,85556
Asia,2021,89031
Asia,2022,83250
Asia,2023,82764
Europe,2013,88326
Europe,2014,91339
Europe,2015,93348
Europe,2016,96641
Europe,2017,103715
Europe,2018,107402
Europe,2019,119569
Europe,2020,125459
Europe,2021,129853
Europe,2022,133649
Europe,2023,138320
Oceania,2013,356
Oceania,2014,379
Oceania,2015,385
Oceania,2016,412
Oceania,2017,505
Oceania,2018,489
Oceania,2019,536
Oceania,2020,612
Oceania,2021,631
Oceania,2022,527
Oceania,2023,566
